unit_id,unit_level,pref_name,unit_code,n_geoms
aza:Aomori:02201056002,aza,Aomori,02201056002,9038
aza:Aomori:02201056002,aza,Aomori,02201056002,9038
aza:Aomori:02201056003,aza,Aomori,02201056003,9038
aza:Aomori:02201057101,aza,Aomori,02201057101,9038
aza:Aomori:02201057102,aza,Aomori,02201057102,9038
aza:Aomori:02201057103,aza,Aomori,02201057103,9038
aza:Aomori:02201057104,aza,Aomori,02201057104,9038
aza:Aomori:02201058002,aza,Aomori,02201058002,9038
aza:Aomori:02201058004,aza,Aomori,02201058004,9038
aza:Aomori:02201058005,aza,Aomori,02201058005,9038
aza:Aomori:02201059001,aza,Aomori,02201059001,9038
aza:Aomori:02201059002,aza,Aomori,02201059002,9038
aza:Aomori:02201059003,aza,Aomori,02201059003,9038
aza:Aomori:02201060001,aza,Aomori,02201060001,9038
aza:Aomori:02201060002,aza,Aomori,02201060002,9038
aza:Aomori:02201061001,aza,Aomori,02201061001,9038
aza:Aomori:02201061002,aza,Aomori,02201061002,9038
aza:Aomori:02201062001,aza,Aomori,02201062001,9038
aza:Aomori:02201062002,aza,Aomori,02201062002,9038
aza:Aomori:02201062003,aza,Aomori,02201062003,9038
aza:Aomori:02201062004,aza,Aomori,02201062004,9038
aza:Aomori:02201062005,aza,Aomori,02201062005,9038
aza:Aomori:02201062006,aza,Aomori,02201062006,9038
aza:Aomori:02201063001,aza,Aomori,02201063001,9038
aza:Aomori:02201063002,aza,Aomori,02201063002,9038
aza:Aomori:02201063003,aza,Aomori,02201063003,9038
aza:Aomori:02201064001,aza,Aomori,02201064001,9038
aza:Aomori:02201064002,aza,Aomori,02201064002,9038
aza:Aomori:02201064002,aza,Aomori,02201064002,9038
aza:Aomori:02201064002,aza,Aomori,02201064002,9038
aza:Aomori:02201064003,aza,Aomori,02201064003,9038
aza:Aomori:02201064004,aza,Aomori,02201064004,9038
aza:Aomori:02201064005,aza,Aomori,02201064005,9038
aza:Aomori:02201065001,aza,Aomori,02201065001,9038
aza:Aomori:02201065002,aza,Aomori,02201065002,9038
aza:Aomori:02201065003,aza,Aomori,02201065003,9038
aza:Aomori:02201065004,aza,Aomori,02201065004,9038
aza:Aomori:02201065005,aza,Aomori,02201065005,9038
aza:Aomori:02201065006,aza,Aomori,02201065006,9038
aza:Aomori:02201066001,aza,Aomori,02201066001,9038
aza:Aomori:02201066002,aza,Aomori,02201066002,9038
aza:Aomori:02201066003,aza,Aomori,02201066003,9038
aza:Aomori:022010670,aza,Aomori,022010670,9038
aza:Aomori:02201068001,aza,Aomori,02201068001,9038
aza:Aomori:02201068002,aza,Aomori,02201068002,9038
aza:Aomori:02201069000,aza,Aomori,02201069000,9038
aza:Aomori:02201069001,aza,Aomori,02201069001,9038
aza:Aomori:02201069002,aza,Aomori,02201069002,9038
aza:Aomori:02201069003,aza,Aomori,02201069003,9038
aza:Aomori:02201070001,aza,Aomori,02201070001,9038
aza:Aomori:02201070002,aza,Aomori,02201070002,9038
aza:Aomori:02201070003,aza,Aomori,02201070003,9038
aza:Aomori:02201071001,aza,Aomori,02201071001,9038
aza:Aomori:02201071002,aza,Aomori,02201071002,9038
aza:Aomori:02201071003,aza,Aomori,02201071003,9038
aza:Aomori:02201071004,aza,Aomori,02201071004,9038
aza:Aomori:02201071005,aza,Aomori,02201071005,9038
aza:Aomori:02201072001,aza,Aomori,02201072001,9038
aza:Aomori:02201072002,aza,Aomori,02201072002,9038
aza:Aomori:02201072003,aza,Aomori,02201072003,9038
aza:Aomori:02201073001,aza,Aomori,02201073001,9038
aza:Aomori:02201073002,aza,Aomori,02201073002,9038
aza:Aomori:02201073003,aza,Aomori,02201073003,9038
aza:Aomori:022010740,aza,Aomori,022010740,9038
aza:Aomori:022010750,aza,Aomori,022010750,9038
aza:Aomori:022010760,aza,Aomori,022010760,9038
aza:Aomori:02201077001,aza,Aomori,02201077001,9038
aza:Aomori:02201077002,aza,Aomori,02201077002,9038
aza:Aomori:02201077003,aza,Aomori,02201077003,9038
aza:Aomori:02201077004,aza,Aomori,02201077004,9038
aza:Aomori:02201077004,aza,Aomori,02201077004,9038
aza:Aomori:02201078001,aza,Aomori,02201078001,9038
aza:Aomori:02201078001,aza,Aomori,02201078001,9038
aza:Aomori:02201078001,aza,Aomori,02201078001,9038
aza:Aomori:02201078002,aza,Aomori,02201078002,9038
aza:Aomori:02201078003,aza,Aomori,02201078003,9038
aza:Aomori:02201078004,aza,Aomori,02201078004,9038
aza:Aomori:02201078005,aza,Aomori,02201078005,9038
aza:Aomori:02201078006,aza,Aomori,02201078006,9038
aza:Aomori:02201079001,aza,Aomori,02201079001,9038
aza:Aomori:02201079002,aza,Aomori,02201079002,9038
aza:Aomori:02201080001,aza,Aomori,02201080001,9038
aza:Aomori:02201080002,aza,Aomori,02201080002,9038
aza:Aomori:02201080003,aza,Aomori,02201080003,9038
aza:Aomori:02201080004,aza,Aomori,02201080004,9038
aza:Aomori:02201080005,aza,Aomori,02201080005,9038
aza:Aomori:02201080006,aza,Aomori,02201080006,9038
aza:Aomori:02201080007,aza,Aomori,02201080007,9038
aza:Aomori:02201080008,aza,Aomori,02201080008,9038
aza:Aomori:02201080009,aza,Aomori,02201080009,9038
aza:Aomori:02201081001,aza,Aomori,02201081001,9038
aza:Aomori:02201081002,aza,Aomori,02201081002,9038
aza:Aomori:02201082101,aza,Aomori,02201082101,9038
aza:Aomori:02201082102,aza,Aomori,02201082102,9038
aza:Aomori:02201082103,aza,Aomori,02201082103,9038
aza:Aomori:02201082104,aza,Aomori,02201082104,9038
aza:Aomori:02201082105,aza,Aomori,02201082105,9038
aza:Aomori:02201082201,aza,Aomori,02201082201,9038
aza:Aomori:02201082202,aza,Aomori,02201082202,9038
aza:Aomori:02201082203,aza,Aomori,02201082203,9038
aza:Aomori:02201082204,aza,Aomori,02201082204,9038
aza:Aomori:02201082204,aza,Aomori,02201082204,9038
aza:Aomori:02201083001,aza,Aomori,02201083001,9038
aza:Aomori:02201083002,aza,Aomori,02201083002,9038
aza:Aomori:02201083003,aza,Aomori,02201083003,9038
aza:Aomori:02201084001,aza,Aomori,02201084001,9038
aza:Aomori:02201084002,aza,Aomori,02201084002,9038
aza:Aomori:02201085001,aza,Aomori,02201085001,9038
aza:Aomori:02201085002,aza,Aomori,02201085002,9038
aza:Aomori:022010860,aza,Aomori,022010860,9038
aza:Aomori:02201087001,aza,Aomori,02201087001,9038
aza:Aomori:02201087002,aza,Aomori,02201087002,9038
aza:Aomori:02201087003,aza,Aomori,02201087003,9038
aza:Aomori:02201088001,aza,Aomori,02201088001,9038
aza:Aomori:02201088002,aza,Aomori,02201088002,9038
aza:Aomori:02201088003,aza,Aomori,02201088003,9038
aza:Aomori:02201089001,aza,Aomori,02201089001,9038
aza:Aomori:02201089002,aza,Aomori,02201089002,9038
aza:Aomori:02201090001,aza,Aomori,02201090001,9038
