,model,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,cohen_kappa,matthews_corrcoef
108,SVM (RBF),0.6465602841401483,0.6467828418230563,0.6397498025717578,0.6407823258753823,0.6442726078528129,0.6467828418230563,0.46904416551195105,0.47371603113515287
109,SVM (RBF),0.66149914344942,0.6657400972897846,0.6704633618364725,0.6727396314254529,0.7048818926412775,0.6657400972897846,0.4924407916398096,0.5023260148477692
110,SVM (RBF),0.6910320278012585,0.6906005221932114,0.6963340351201456,0.6956861285533346,0.7269502351737327,0.6906005221932114,0.5365646323625142,0.5473036437415332
111,SVM (RBF),0.6965292358805778,0.6973684210526315,0.6940530446090717,0.6920371791339534,0.6988014351295702,0.6973684210526315,0.5464434864173058,0.5499089938431981
112,SVM (RBF),0.6794198010972874,0.6805460750853243,0.6858916263769551,0.6876454316820584,0.7072778891635687,0.6805460750853243,0.5182739308501557,0.5251747110055001
113,SVM (RBF),0.6465602841401483,0.6467828418230563,0.6397498025717578,0.6407823258753823,0.6442726078528129,0.6467828418230563,0.46904416551195105,0.47371603113515287
114,SVM (RBF),0.66149914344942,0.6657400972897846,0.6704633618364725,0.6727396314254529,0.7048818926412775,0.6657400972897846,0.4924407916398096,0.5023260148477692
115,SVM (RBF),0.6910320278012585,0.6906005221932114,0.6963340351201456,0.6956861285533346,0.7269502351737327,0.6906005221932114,0.5365646323625142,0.5473036437415332
116,SVM (RBF),0.6954714191307024,0.6954813359528488,0.6923991020114304,0.690517191552014,0.6990886695902297,0.6954813359528488,0.5439349329058216,0.5481146014014074
117,SVM (RBF),0.6637756039880037,0.6653005464480874,0.6710757559308205,0.672675429794635,0.6975646990886002,0.6653005464480874,0.49509850843754744,0.5039602375137142
118,SVM (RBF),0.650163423665021,0.6500672947510094,0.642800713695018,0.6439396363248547,0.6480772329759271,0.6500672947510094,0.47421745346022914,0.4793219918453717
119,SVM (RBF),0.66149914344942,0.6657400972897846,0.6704633618364725,0.6727396314254529,0.7048818926412775,0.6657400972897846,0.4924407916398096,0.5023260148477692
120,SVM (RBF),0.6910320278012585,0.6906005221932114,0.6963340351201456,0.6956861285533346,0.7269502351737327,0.6906005221932114,0.5365646323625142,0.5473036437415332
