,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,missing_count,missing_pct
tri_mean,8470.0,5.587399855864002,2.6300357063086275,0.3281815017976682,4.354951665048815,5.542948879114477,7.577336966426011,10.010344926851127,-0.28831400849944194,-0.6478844521908798,0,0.0
dw_water_frac,8470.0,0.0629002152903316,0.03349296012674677,0.03942781285599321,0.044822134582802944,0.04788790164256237,0.06388615816647292,0.19295157673820615,2.495648265300468,5.9660228322631745,0,0.0
dw_trees_frac,8470.0,0.4053253445630317,0.13134915801229494,0.08316249380332254,0.37267671143729675,0.43619175561693213,0.49052339520682475,0.6013350226402466,-0.9824665012625777,0.2203645427899832,0,0.0
dw_grass_frac,8470.0,0.06566655512491286,0.013228967017145751,0.04596060508245485,0.05576012465022549,0.06420202748530814,0.07002505508410191,0.10877962603628885,1.1848160116575748,1.4886954169590685,0,0.0
dw_flooded_vegetation_frac,8470.0,0.040572615455979434,0.0064549159584396144,0.03330032660717999,0.0359860872330216,0.03815905009874988,0.04271578746297615,0.0591388192379827,1.4817539480256645,1.2535898217081054,0,0.0
dw_crops_frac,8470.0,0.10307029749444292,0.06681160029570668,0.03861504514737074,0.06029130457391072,0.07692400284768645,0.11806223322706617,0.3075173429444665,1.6410318733416318,1.860796963603295,0,0.0
dw_shrub_and_scrub_frac,8470.0,0.062189948579369915,0.006302851317504723,0.047019202130844755,0.058026156215508815,0.060010811588848516,0.06501140831302063,0.07651150499500757,0.4287306536398931,-0.14379055011764663,0,0.0
dw_built_frac,8470.0,0.08578249250623506,0.04312155676484648,0.03980723941125937,0.05432454941321273,0.0723762450625686,0.09714137364602754,0.20864313109894145,1.377608681361165,1.0417108969246427,0,0.0
dw_bare_frac,8470.0,0.04512920307242449,0.004045227742751515,0.038189606812379776,0.04259062484044708,0.04453524112101128,0.04701779890654462,0.06143824883467637,1.3718050793983643,3.492665409365641,0,0.0
dw_snow_and_ice_frac,8470.0,0.11875580315009451,0.035116736838866125,0.05133094200258409,0.09564723345773792,0.10837318285766218,0.13932415362177286,0.2063354839737988,0.6858092229511904,-0.05991108051363048,0,0.0
pop_total,8470.0,33955.6453364817,58993.15796371552,1265.0,5583.0,13496.0,30934.0,307672.0,3.2701095827482414,10.607938808164768,0,0.0
pop_male,8470.0,16005.375678866589,27722.118856319066,589.0,2534.0,6637.0,14363.0,145411.0,3.2768364005962916,10.670297130612022,0,0.0
pop_female,8470.0,17950.269657615114,31278.971896958195,676.0,2874.0,6894.0,16571.0,162261.0,3.2646368920350137,10.558334780976056,0,0.0
households_total,8470.0,13804.190791027155,25510.97448731508,435.0,2338.0,5167.0,11618.0,136634.0,3.4272784599538073,11.6588478989827,0,0.0
age_u15,8470.0,3428.211334120425,6292.829639318876,105.0,442.0,1276.0,3272.0,32809.0,3.318620137948402,10.787581637596972,0,0.0
age_15_64,8470.0,18189.071546635183,32871.11117945356,613.0,2678.0,7085.0,16504.0,172755.0,3.3282336475184104,10.90517096132975,0,0.0
age_65_plus,8470.0,11899.00613931523,18524.697093423136,501.0,2477.0,4797.0,11809.0,95949.0,3.018381008818371,9.197035630093028,0,0.0
age_75_plus,8470.0,6175.396694214876,9361.613192958719,291.0,1227.0,2506.0,6282.0,48525.0,2.9268497643230336,8.684833802535774,0,0.0
year,8470.0,2020.0064935064936,3.181906629326162,2015.0,2017.0,2020.0,2023.0,2025.0,-0.005922095999203304,-1.2406148491521165,0,0.0
month_num,8470.0,6.5064935064935066,3.4741278949788015,1.0,3.0,7.0,10.0,12.0,-0.005569914064016388,-1.238693046794448,0,0.0
