unit_id,month,feature,value,lower_bound,upper_bound,bound_exceeded
mura:Aomori:02450,2020-01,B2,3580.0958,-888.0414,2885.6246,upper
mura:Akita:05201,2020-02,B2,4333.6874,-888.0414,2885.6246,upper
mura:Akita:05203,2020-02,B2,6496.4047,-888.0414,2885.6246,upper
mura:Akita:05204,2020-02,B2,3490.7071,-888.0414,2885.6246,upper
mura:Akita:05207,2020-02,B2,6583.996,-888.0414,2885.6246,upper
mura:Akita:05209,2020-02,B2,3941.8435,-888.0414,2885.6246,upper
mura:Akita:05210,2020-02,B2,4521.8542,-888.0414,2885.6246,upper
mura:Akita:05211,2020-02,B2,3026.7405,-888.0414,2885.6246,upper
mura:Akita:05212,2020-02,B2,5956.5971,-888.0414,2885.6246,upper
mura:Akita:05213,2020-02,B2,4219.3343,-888.0414,2885.6246,upper
mura:Akita:05214,2020-02,B2,3315.5364,-888.0414,2885.6246,upper
mura:Akita:05215,2020-02,B2,5604.7417,-888.0414,2885.6246,upper
mura:Akita:05303,2020-02,B2,3361.2797,-888.0414,2885.6246,upper
mura:Akita:05327,2020-02,B2,4040.7377,-888.0414,2885.6246,upper
mura:Akita:05361,2020-02,B2,3625.1012,-888.0414,2885.6246,upper
mura:Akita:05363,2020-02,B2,2958.2927,-888.0414,2885.6246,upper
mura:Akita:05366,2020-02,B2,3369.9997,-888.0414,2885.6246,upper
mura:Akita:05434,2020-02,B2,6727.3956,-888.0414,2885.6246,upper
mura:Akita:05463,2020-02,B2,5754.2024,-888.0414,2885.6246,upper
mura:Akita:05464,2020-02,B2,6728.0,-888.0414,2885.6246,upper
mura:Aomori:02203,2020-02,B2,4001.6585,-888.0414,2885.6246,upper
mura:Aomori:02206,2020-02,B2,3293.8835,-888.0414,2885.6246,upper
mura:Aomori:02207,2020-02,B2,3222.2623,-888.0414,2885.6246,upper
mura:Aomori:02210,2020-02,B2,2943.1583,-888.0414,2885.6246,upper
mura:Aomori:02402,2020-02,B2,2905.0943,-888.0414,2885.6246,upper
mura:Aomori:02405,2020-02,B2,3475.553,-888.0414,2885.6246,upper
mura:Aomori:02408,2020-02,B2,2917.4737,-888.0414,2885.6246,upper
mura:Aomori:02412,2020-02,B2,3590.5956,-888.0414,2885.6246,upper
mura:Aomori:02441,2020-02,B2,3766.3561,-888.0414,2885.6246,upper
mura:Aomori:02442,2020-02,B2,3756.4589,-888.0414,2885.6246,upper
mura:Aomori:02443,2020-02,B2,3777.0313,-888.0414,2885.6246,upper
mura:Aomori:02445,2020-02,B2,3913.6991,-888.0414,2885.6246,upper
mura:Aomori:02446,2020-02,B2,4090.0,-888.0414,2885.6246,upper
mura:Aomori:02450,2020-02,B2,3609.56,-888.0414,2885.6246,upper
mura:Aomori:02203,2020-04,B2,5360.5506,-888.0414,2885.6246,upper
mura:Aomori:02206,2020-04,B2,3147.0494,-888.0414,2885.6246,upper
mura:Aomori:02207,2020-04,B2,3866.4565,-888.0414,2885.6246,upper
mura:Aomori:02405,2020-04,B2,4130.198,-888.0414,2885.6246,upper
mura:Aomori:02408,2020-04,B2,3123.1769,-888.0414,2885.6246,upper
mura:Aomori:02412,2020-04,B2,4516.933,-888.0414,2885.6246,upper
mura:Aomori:02441,2020-04,B2,3845.333,-888.0414,2885.6246,upper
mura:Aomori:02442,2020-04,B2,4487.8323,-888.0414,2885.6246,upper
mura:Aomori:02443,2020-04,B2,3120.0694,-888.0414,2885.6246,upper
mura:Aomori:02445,2020-04,B2,4793.6514,-888.0414,2885.6246,upper
mura:Aomori:02446,2020-04,B2,5614.0,-888.0414,2885.6246,upper
mura:Aomori:02450,2020-04,B2,3577.5318,-888.0414,2885.6246,upper
mura:Akita:05201,2020-06,B2,3375.6739,-888.0414,2885.6246,upper
mura:Akita:05203,2020-06,B2,5033.3706,-888.0414,2885.6246,upper
mura:Akita:05207,2020-06,B2,5097.9041,-888.0414,2885.6246,upper
mura:Akita:05210,2020-06,B2,3577.8663,-888.0414,2885.6246,upper
mura:Akita:05212,2020-06,B2,4614.2051,-888.0414,2885.6246,upper
mura:Akita:05213,2020-06,B2,3114.1594,-888.0414,2885.6246,upper
mura:Akita:05215,2020-06,B2,4315.2017,-888.0414,2885.6246,upper
mura:Akita:05327,2020-06,B2,3057.443,-888.0414,2885.6246,upper
mura:Akita:05434,2020-06,B2,5203.5547,-888.0414,2885.6246,upper
mura:Akita:05463,2020-06,B2,4486.5481,-888.0414,2885.6246,upper
mura:Akita:05464,2020-06,B2,5204.0,-888.0414,2885.6246,upper
mura:Akita:05201,2020-12,B2,5021.6181,-888.0414,2885.6246,upper
mura:Akita:05203,2020-12,B2,6939.4717,-888.0414,2885.6246,upper
mura:Akita:05204,2020-12,B2,5621.001,-888.0414,2885.6246,upper
mura:Akita:05207,2020-12,B2,7028.1724,-888.0414,2885.6246,upper
mura:Akita:05209,2020-12,B2,4679.3381,-888.0414,2885.6246,upper
mura:Akita:05210,2020-12,B2,4943.0889,-888.0414,2885.6246,upper
mura:Akita:05211,2020-12,B2,3405.4016,-888.0414,2885.6246,upper
mura:Akita:05212,2020-12,B2,6557.87,-888.0414,2885.6246,upper
mura:Akita:05213,2020-12,B2,6128.9305,-888.0414,2885.6246,upper
mura:Akita:05214,2020-12,B2,3718.3207,-888.0414,2885.6246,upper
mura:Akita:05215,2020-12,B2,6845.0185,-888.0414,2885.6246,upper
mura:Akita:05303,2020-12,B2,3643.1459,-888.0414,2885.6246,upper
